Name,FullName,BuildingType,BuildingArea,BuildingYear,BuildingHeight,BuildingFloor,BasementFloor
团委楼,北京工业大学.行政办公建筑.团委楼,校园建筑,3004.7,,12,3,0
修缮楼,北京工业大学.行政办公建筑.修缮楼,校园建筑,300,,6,0,0
知新园,北京工业大学.行政办公建筑.知新园,校园建筑,7148,,23,0,0
学生处楼,北京工业大学.行政办公建筑.学生处楼,校园建筑,2080,,16,0,0
保卫处小楼,北京工业大学.行政办公建筑.保卫处小楼,校园建筑,431.1,,8,0,0
图书馆,北京工业大学.图书馆.图书馆,校园建筑,8146.13,,21,5,0
逸夫馆,北京工业大学.图书馆.逸夫馆,校园建筑,0,,0,0,0
第一教学楼,北京工业大学.教学建筑.第一教学楼,校园建筑,11026.28,,0,6,0
第二教学楼,北京工业大学.教学建筑.第二教学楼,校园建筑,8300,,0,6,0
第三教学楼,北京工业大学.教学建筑.第三教学楼,校园建筑,20800.51,,0,6,0
第四教学楼,北京工业大学.教学建筑.第四教学楼,校园建筑,25910,,0,9,2
建工楼,北京工业大学.科研楼建筑.建工楼,校园建筑,12049.52,,0,5,0
机电楼,北京工业大学.科研楼建筑.机电楼,校园建筑,4186,,0,4,0
环化楼,北京工业大学.科研楼建筑.环化楼,校园建筑,8746,,0,6,0
数理楼,北京工业大学.科研楼建筑.数理楼,校园建筑,15220.28,,0,6,0
材料楼,北京工业大学.科研楼建筑.材料楼,校园建筑,14740,,0,6,0
信息楼,北京工业大学.科研楼建筑.信息楼,校园建筑,15025.54,,0,5,0
知行楼,北京工业大学.科研楼建筑.知行楼,校园建筑,19688,,0,8,2
交通楼,北京工业大学.科研楼建筑.交通楼,校园建筑,21842.21,,0,8,2
经管楼,北京工业大学.科研楼建筑.经管楼,校园建筑,9975.26,,0,5,0
软件楼,北京工业大学.科研楼建筑.软件楼,校园建筑,26466,,0,8,2
能源楼,北京工业大学.科研楼建筑.能源楼,校园建筑,4989.92,,0,6,0
金工楼,北京工业大学.科研楼建筑.金工楼,校园建筑,4570.8,,0,4,0
艺术楼,北京工业大学.科研楼建筑.艺术楼,校园建筑,48825,,0,9,2
理科楼B楼,北京工业大学.科研楼建筑.理科楼B楼,校园建筑,0,,0,0,0
理科楼C楼,北京工业大学.科研楼建筑.理科楼C楼,校园建筑,0,,0,0,0
理科楼M楼,北京工业大学.科研楼建筑.理科楼M楼,校园建筑,0,,0,0,0
人文楼,北京工业大学.综合楼建筑.人文楼,校园建筑,40694,,0,10,2
基础楼,北京工业大学.综合楼建筑.基础楼,校园建筑,9725.2,,0,13,1
科学楼,北京工业大学.综合楼建筑.科学楼,校园建筑,32115,,0,13,2
绿化楼,北京工业大学.综合楼建筑.绿化楼,校园建筑,470.4,,0,3,0
校礼堂,北京工业大学.场馆建筑.校礼堂,校园建筑,4013.1,,0,5,0
游泳馆,北京工业大学.场馆建筑.游泳馆,校园建筑,3286.47,,0,2,1
地下足球馆,北京工业大学.场馆建筑.地下足球馆,校园建筑,2005,,0,0,2
奥运场馆,北京工业大学.场馆建筑.奥运场馆,校园建筑,24383,,0,3,1
北体育场,北京工业大学.场馆建筑.北体育场,校园建筑,1405,,0,0,0
南体育场,北京工业大学.场馆建筑.南体育场,校园建筑,3166.65,,0,0,0
1、2、回民食堂,北京工业大学.食堂餐厅.1、2、回民食堂,校园建筑,3968,,0,2,0
学生综合服务中心,北京工业大学.食堂餐厅.学生综合服务中心,校园建筑,24383,,0,4,2
美食园风味餐厅,北京工业大学.食堂餐厅.美食园风味餐厅,校园建筑,3200,,0,2,0
奥运餐厅,北京工业大学.食堂餐厅.奥运餐厅,校园建筑,5180,,0,2,0
1号学生公寓,北京工业大学.学生宿舍.1号学生公寓,校园建筑,9931,,0,6,0
2号学生公寓,北京工业大学.学生宿舍.2号学生公寓,校园建筑,9931,,0,6,0
3号学生公寓,北京工业大学.学生宿舍.3号学生公寓,校园建筑,5919,,0,6,0
4号学生公寓,北京工业大学.学生宿舍.4号学生公寓,校园建筑,5919,,0,6,0
5号学生公寓,北京工业大学.学生宿舍.5号学生公寓,校园建筑,4240,,0,6,0
6号学生公寓,北京工业大学.学生宿舍.6号学生公寓,校园建筑,4240,,0,6,0
7号学生公寓,北京工业大学.学生宿舍.7号学生公寓,校园建筑,5096,,0,5,0
8号学生公寓,北京工业大学.学生宿舍.8号学生公寓,校园建筑,5096,,0,5,0
9号学生公寓,北京工业大学.学生宿舍.9号学生公寓,校园建筑,8360,,0,6,0
10号学生公寓,北京工业大学.学生宿舍.10号学生公寓,校园建筑,12483.5,,0,7,0
11号学生公寓,北京工业大学.学生宿舍.11号学生公寓,校园建筑,12483.5,,0,7,0
12号学生公寓,北京工业大学.学生宿舍.12号学生公寓,校园建筑,0,,0,0,0
13号学生公寓,北京工业大学.学生宿舍.13号学生公寓,校园建筑,3378.6,,0,6,0
北研楼,北京工业大学.学生宿舍.北研楼,校园建筑,5672.5,,0,6,0
